class,cap-shape,cap-surface,cap-color,stem-root,stem-surface,stem-color,habitat,season,cap-diameter,stem-height,stem-width
e,x,i,n,,,w,w,a,6.68,4.49,12.74
e,s,y,n,,i,n,h,u,2.85,6.7,3.51
p,f,s,n,,k,k,d,u,14.55,5.48,32.13
p,f,y,e,,y,y,d,a,8.49,8.48,24.51
e,x,,n,,,w,d,a,4.33,6.55,3.77
p,x,s,r,r,y,w,d,a,5.94,5.66,14.43
e,x,y,n,,y,n,d,a,5.06,4.23,8.75
p,p,t,n,,t,y,m,s,2.1,5.88,2.45
p,o,l,g,f,f,f,d,w,3.45,0.0,0.0
e,f,e,b,,,w,d,a,9.98,4.91,20.84
p,f,s,o,,,o,m,a,2.27,2.87,4.95
p,x,e,e,,,y,d,a,6.61,7.43,9.72
p,b,t,w,,y,w,d,a,8.27,12.63,12.46
e,f,s,w,,,w,m,w,3.08,3.1,5.84
p,c,,w,,i,w,d,u,1.8,3.75,3.44
p,x,e,e,,,y,d,a,6.29,8.4,10.58
p,x,g,n,,y,w,d,u,9.89,10.09,20.18
p,c,i,y,,,w,d,u,5.99,7.47,8.89
p,f,d,n,b,s,n,d,a,3.21,4.93,3.11
p,f,,g,b,,n,d,a,5.63,6.07,10.0
e,f,y,w,s,,n,d,a,14.82,22.89,18.51
e,f,h,o,,k,o,d,w,4.89,7.6,5.82
e,f,y,n,,,w,w,a,4.56,3.77,11.79
p,x,g,e,s,y,w,d,w,14.8,18.13,17.66
e,b,y,n,,,w,d,w,3.06,6.89,3.41
p,x,g,e,s,y,w,d,u,14.92,18.07,17.02
e,s,l,w,,,w,d,u,6.43,3.42,9.3
e,o,,n,,,n,d,u,5.36,4.18,22.21
e,x,h,n,,s,w,d,u,3.46,5.04,6.49
p,f,y,w,,k,w,d,u,3.03,4.61,3.66
e,x,t,n,,,n,d,a,9.31,7.84,17.9
p,x,y,y,,y,n,d,u,3.53,4.82,3.62
p,p,t,n,,t,y,m,u,2.19,7.74,2.67
p,f,t,r,,,n,l,u,9.28,4.92,23.14
e,x,y,n,,y,n,d,u,5.19,5.61,9.55
p,f,l,e,,,y,d,a,3.87,6.52,5.3
e,f,g,n,,t,o,d,a,7.21,7.99,11.7
e,b,g,w,,,y,g,u,3.46,4.35,2.89
p,o,l,g,f,f,f,d,w,3.18,0.0,0.0
p,x,t,g,,,r,l,a,10.98,4.48,24.58
p,f,,n,r,i,w,h,a,9.93,10.03,11.42
e,x,k,n,,,y,d,a,3.04,4.61,10.06
e,f,,g,,,w,d,a,5.73,2.05,12.77
p,s,k,w,,,w,d,w,16.23,7.05,24.62
e,x,s,n,,i,w,d,w,8.98,6.72,10.21
p,f,t,n,,,n,h,u,9.99,5.66,14.14
p,o,s,n,f,f,f,d,u,2.45,0.0,0.0
p,x,w,p,,,p,d,w,5.7,4.17,9.79
p,x,,w,,,p,d,u,3.68,7.99,3.7
p,f,,r,,,w,d,u,6.79,6.32,10.28
p,x,s,y,,,y,d,w,4.05,8.12,6.89
p,p,,n,c,,n,d,u,12.13,9.31,32.46
p,x,i,e,,,e,d,a,3.95,4.34,5.93
p,s,t,p,,,p,d,a,6.26,6.2,12.11
e,c,h,n,,s,w,d,a,5.84,11.82,13.1
e,x,t,y,,,y,d,u,6.22,6.04,13.43
p,x,,n,c,,n,d,a,10.83,10.47,30.95
p,o,,n,,g,n,d,s,11.16,4.01,24.81
e,x,g,y,,t,y,d,u,1.93,6.5,2.57
e,f,d,w,,,w,d,u,7.01,8.38,33.51
p,f,k,y,,k,n,d,u,5.75,3.37,5.35
p,x,s,o,,,y,m,a,2.53,2.82,5.6
e,p,i,n,,y,w,d,a,10.13,9.03,17.86
p,c,e,y,,,w,g,s,4.64,6.29,13.15
e,x,,r,,,w,l,a,4.04,5.87,7.55
e,b,g,w,,,w,d,a,1.05,3.28,1.5
e,x,d,n,,,y,d,u,7.3,6.02,13.06
p,x,,e,,,y,d,a,6.89,3.83,13.29
e,x,,w,,,w,l,a,4.51,7.28,7.75
e,x,e,l,,,w,d,u,11.03,7.73,23.67
p,o,t,n,f,f,f,d,a,3.89,0.0,0.0
p,b,i,o,,,y,m,a,5.68,7.62,8.47
p,b,t,w,,y,w,d,u,6.33,12.75,12.24
e,c,,g,,,n,d,s,6.57,6.16,21.56
e,x,t,y,,,y,d,a,8.0,8.46,15.73
p,f,,r,,,w,d,u,7.43,7.0,13.34
p,s,d,o,,,y,h,u,5.73,3.22,6.4
e,f,s,k,,,w,d,a,6.71,4.95,15.49
e,s,l,w,,,w,d,u,6.79,3.6,9.19
e,x,t,n,,s,n,d,a,8.59,6.4,12.4
p,f,,y,,,w,d,a,6.95,6.56,12.81
e,f,y,n,,i,n,h,a,2.87,8.89,4.52
p,s,d,n,,,n,d,a,9.96,6.89,9.97
e,f,s,k,,,w,d,a,7.92,5.08,14.59
e,s,w,y,,,y,d,u,4.68,5.31,17.08
e,f,s,y,,,p,d,w,11.51,6.62,21.74
e,x,s,n,,i,n,d,u,9.2,6.86,10.04
p,x,y,y,,y,y,g,a,2.77,5.93,3.54
e,x,,n,,y,w,d,a,8.17,12.35,26.49
p,f,d,n,,i,y,d,a,6.03,5.66,6.74
e,f,g,e,,,n,d,a,0.85,5.54,0.98
p,b,,n,,s,n,d,u,2.26,4.88,1.88
p,c,,u,,i,w,p,u,1.94,3.27,3.1
p,x,,p,,,y,d,a,5.38,4.54,13.63
p,f,h,r,,,w,d,a,7.06,10.09,12.56
e,s,s,o,,,w,g,w,6.55,5.99,13.01
e,x,d,e,,,o,g,a,3.14,4.73,6.57
e,x,y,n,,,w,w,a,8.78,5.09,13.54
p,o,s,r,f,f,f,d,w,4.39,0.0,0.0
e,x,,l,,,r,d,u,3.87,5.61,6.93
p,x,g,p,,h,k,d,s,0.95,4.23,1.08
p,f,y,w,,k,w,m,a,2.79,3.95,3.49
e,f,s,u,,,n,d,w,9.22,6.79,18.93
p,x,h,l,,y,w,m,a,3.15,5.54,6.83
p,x,e,n,,,u,d,a,10.67,9.5,36.47
e,x,,r,,,r,d,u,4.46,5.31,6.54
e,p,t,n,,,n,d,a,14.74,13.16,52.22
e,f,s,w,,,w,m,a,3.53,3.82,7.05
e,s,s,u,,,n,d,w,10.1,6.66,19.82
p,x,,n,,s,n,g,a,1.4,4.37,2.31
e,x,h,y,,,y,d,a,8.06,8.27,15.13
e,x,,n,b,,w,d,a,9.05,9.96,14.86
p,f,,y,,i,y,d,a,5.54,5.87,14.82
e,f,,n,b,,w,d,a,9.57,10.7,16.73
p,s,,r,,,w,d,a,6.8,5.06,11.89
e,x,s,n,,s,n,l,a,6.0,6.45,10.32
e,c,g,n,,,g,l,u,1.45,4.88,1.55
e,x,h,y,,,y,d,u,7.22,6.47,13.27
e,p,i,n,,y,w,l,a,11.17,9.52,18.69
p,f,,r,,,w,d,a,7.39,6.51,11.62
e,c,g,n,,,g,d,a,1.46,5.1,1.46
p,x,g,y,,s,n,h,a,1.7,2.38,2.42
p,x,e,e,,,e,d,a,5.66,7.97,9.93
e,f,y,y,b,,n,d,w,9.81,6.56,23.86
e,f,e,b,,,w,d,a,11.98,4.94,20.9
e,f,s,w,s,,w,m,u,8.45,7.45,16.25
p,x,,n,,s,n,g,u,1.4,5.28,2.7
p,x,,n,b,,n,l,w,5.72,5.82,10.65
e,f,t,n,,t,n,d,a,7.73,8.52,12.14
e,x,s,w,,,w,m,a,3.45,4.1,7.22
e,s,e,n,s,,w,d,w,16.2,9.52,24.46
p,x,g,p,,s,k,d,w,0.7,3.85,0.97
p,f,d,b,b,i,n,l,u,3.11,4.72,2.9
e,b,y,n,,,w,d,w,3.05,6.27,3.03
p,s,d,e,,,n,d,a,6.61,6.54,10.56
p,o,k,n,,,n,d,a,1.5,3.35,1.49
e,o,,n,,,n,d,a,6.73,3.4,21.66
p,b,y,w,,,w,d,a,7.85,14.42,18.27
p,f,d,n,,i,n,d,a,6.61,4.45,5.43
p,s,w,u,,s,u,l,a,4.01,5.56,5.77
p,b,t,n,,,w,g,w,3.29,9.67,5.67
p,b,t,y,,t,y,m,u,3.03,5.3,6.02
p,b,t,n,,,w,g,u,3.1,6.48,5.16
p,f,,r,,,w,d,u,8.97,7.82,13.96
e,x,e,l,,,w,d,a,11.45,8.49,24.47
p,f,s,g,,,w,g,u,2.97,3.26,8.25
p,f,,e,,,w,d,u,4.57,4.55,6.21
e,s,s,r,,,n,d,a,10.22,6.01,20.13
e,f,,e,,s,w,d,u,6.86,4.2,13.37
p,f,l,n,,,y,d,a,4.3,4.35,4.48
p,x,g,w,,,e,l,u,1.01,2.74,1.3
e,b,g,w,,,w,d,a,1.33,3.24,1.74
e,x,t,n,,s,n,g,a,9.46,7.95,13.02
p,f,w,p,,,p,d,a,9.25,4.15,10.41
p,s,d,w,,h,w,g,u,2.59,3.14,2.47
p,b,,n,,,g,g,u,2.91,9.06,2.54
p,s,k,n,,k,n,d,u,6.04,4.32,6.44
e,x,h,n,,,n,d,a,9.32,8.17,17.63
e,x,s,n,,i,w,d,a,8.14,6.99,9.57
p,b,s,y,,,y,d,s,3.26,8.69,7.1
e,s,d,p,,,g,d,a,3.01,4.37,6.06
p,f,w,o,,,n,d,a,3.18,2.75,5.12
p,f,d,b,b,i,n,d,a,2.93,4.3,2.69
p,s,t,p,,,p,d,u,9.63,7.99,14.69
p,s,t,p,,,p,d,a,7.81,7.65,14.0
p,x,t,n,,,w,d,a,9.27,11.15,31.58
p,p,g,n,,y,w,d,u,6.66,7.39,15.45
p,p,,n,c,,n,d,u,9.01,9.55,28.43
e,x,,y,b,,y,d,a,6.92,5.71,12.34
e,x,t,y,,,w,d,a,8.59,9.57,17.95
p,c,e,w,,,w,g,u,5.59,8.64,13.12
p,x,g,y,,s,n,d,a,1.56,1.56,2.12
e,x,y,g,,,w,d,a,5.06,4.47,7.34
e,p,i,n,,y,w,d,a,9.57,9.08,17.9
e,c,,g,,,n,d,s,5.8,5.52,20.09
p,b,h,n,,t,n,d,a,1.87,5.83,1.97
p,x,g,w,,,e,l,a,1.16,3.31,1.54
p,s,w,u,,s,u,d,u,3.63,5.42,6.0
e,x,s,o,,,e,d,u,4.61,5.53,11.79
p,x,d,n,,,e,d,a,7.8,8.3,10.61
p,x,s,r,r,y,w,d,u,5.09,5.11,13.44
p,f,t,n,,i,g,m,u,3.67,5.84,4.42
p,s,t,k,,,r,d,a,14.27,5.1,24.22
p,f,w,o,,,n,d,u,3.07,4.15,6.43
p,f,,o,,,o,g,u,0.54,4.2,1.03
e,f,s,w,,,w,g,w,3.78,3.72,7.53
e,x,t,y,,,w,d,a,8.76,8.38,16.33
p,x,i,n,,i,n,d,u,7.0,7.32,7.33
p,f,l,e,,,n,l,u,4.1,6.78,5.31
p,x,s,g,,,w,g,u,3.19,3.51,8.06
e,s,e,g,s,,w,l,w,15.99,10.65,27.83
e,x,d,w,,,w,d,u,8.3,6.65,31.72
p,f,g,o,s,y,w,d,w,13.76,17.89,17.87
p,x,y,w,s,,w,g,a,5.87,6.68,10.75
p,x,s,g,r,i,n,d,u,3.76,4.38,11.95
p,x,s,o,,,y,m,a,2.42,2.7,5.08
p,f,g,o,s,y,w,d,w,12.1,16.25,17.06
p,o,,w,,g,w,d,a,2.24,4.33,23.5
e,s,t,p,,,w,d,u,13.15,6.61,18.71
e,f,,b,,,w,d,w,14.58,2.56,15.35
e,x,s,u,,,w,d,a,8.44,4.28,15.11
e,f,y,n,b,,n,d,w,7.52,6.58,24.52
p,o,,k,,g,n,d,u,3.58,3.7,14.57
p,f,,n,,,w,d,a,12.5,11.01,14.63
e,f,g,o,,t,n,d,a,6.92,9.22,12.47
e,x,g,n,,t,y,d,u,1.31,4.93,1.82
e,f,s,o,,,w,g,w,6.1,5.33,12.0
e,f,,y,,,w,d,u,8.51,6.18,16.74
p,f,t,r,,,n,h,a,9.8,7.03,17.09
e,x,d,e,,,e,d,a,6.63,6.89,12.94
p,o,,e,,g,n,d,s,8.12,3.04,23.42
e,b,h,k,,s,g,d,a,6.38,4.91,10.43
p,c,h,n,,,y,g,u,2.61,8.01,3.38
e,x,w,n,,,n,d,u,14.91,16.17,71.88
p,s,t,n,,,n,h,a,10.56,5.43,11.98
p,x,s,g,r,y,n,d,a,6.46,3.95,14.93
p,x,g,o,s,y,w,d,w,13.2,16.91,16.9
p,s,d,w,,h,w,g,a,2.66,3.46,2.45
e,s,,w,,,w,d,a,10.61,5.04,24.72
p,s,w,u,,s,u,d,u,3.03,4.84,5.02
p,o,l,g,f,f,f,d,u,3.04,0.0,0.0
e,b,h,k,,s,g,d,a,6.46,6.33,10.44
p,x,k,n,,,n,g,u,3.42,3.66,3.0
p,s,t,n,,,y,d,a,5.94,4.53,13.04
e,s,d,b,,,w,d,a,7.26,5.76,12.16
p,x,i,l,,,w,g,a,2.42,4.49,2.81
p,x,,o,,,y,g,u,0.74,4.56,0.98
p,f,y,p,,k,w,d,u,3.33,3.68,3.35
e,s,,y,,,g,d,u,6.27,7.36,15.77
e,p,y,w,,,w,g,u,4.35,3.77,11.7
p,s,t,y,,,y,d,a,7.28,5.77,17.89
e,x,,e,,s,w,d,a,9.0,8.04,20.17
e,o,,n,,,n,l,s,4.84,5.18,19.43
e,s,t,w,,,w,d,a,10.22,6.87,16.87
p,b,s,g,,s,w,g,a,5.83,9.73,12.67
p,x,e,n,s,,n,h,a,8.6,9.9,15.77
p,b,,n,,,g,g,a,3.67,8.7,2.45
e,c,g,n,,,g,l,a,1.49,4.97,1.45
e,b,h,k,,s,g,d,u,6.46,3.84,9.22
e,f,t,n,,t,o,d,a,3.66,5.58,7.26
e,f,s,b,,,w,g,w,6.32,6.26,12.6
p,f,g,n,,,n,d,a,19.88,4.72,40.88
p,f,k,w,,,n,g,a,3.95,3.99,2.94
p,x,s,g,,,w,g,a,3.66,3.71,9.03
e,x,s,u,,,w,d,a,8.78,4.38,14.6
e,x,y,n,,,w,d,u,14.91,9.47,17.43
p,s,t,k,,,r,d,u,12.57,5.33,27.15
p,x,e,y,,,e,d,u,10.94,7.36,25.03
e,x,t,o,,s,o,d,s,5.45,6.94,4.91
p,x,g,e,,s,k,d,a,0.82,4.95,1.14
p,x,,o,,,y,g,a,0.78,4.71,1.05
p,x,k,w,,,n,g,a,3.93,4.09,3.06
e,s,,w,,,w,d,u,11.15,5.74,24.06
p,f,s,n,,k,k,d,a,12.55,4.88,24.4
e,c,g,n,,,g,l,u,1.21,4.17,1.18
e,x,,w,,,w,d,u,4.98,6.66,4.24
p,x,w,e,r,g,n,d,a,8.33,12.71,8.45
e,o,,n,,,n,d,s,5.08,5.37,19.46
p,x,k,n,,,n,d,s,1.59,4.18,1.66
e,x,s,n,,,n,d,a,9.55,7.94,17.99
p,x,,n,r,i,w,d,u,9.12,10.29,11.72
e,f,h,o,,t,n,d,a,7.58,9.46,13.49
e,o,y,y,,k,n,d,u,50.56,7.6,28.31
p,b,,k,,,n,g,u,3.47,10.18,2.67
e,x,s,n,,s,n,l,w,5.8,6.78,9.45
e,f,y,n,,,w,w,u,6.38,4.84,12.23
e,x,,n,,s,w,d,a,7.88,6.61,16.65
e,x,h,y,,,y,d,a,7.37,6.51,14.9
e,f,,n,b,,w,d,a,9.4,11.8,18.04
p,x,g,p,,s,k,d,u,0.75,4.49,1.06
p,x,,g,b,,n,l,w,5.94,5.66,10.56
p,f,d,n,b,i,n,l,u,3.75,4.9,2.93
e,x,s,y,,t,y,d,u,1.29,5.54,1.57
p,s,t,r,,,n,d,u,8.77,5.86,14.87
e,f,s,k,,,w,d,u,15.66,8.17,23.18
p,x,t,o,,y,n,d,w,3.33,4.93,6.15
p,p,g,n,,y,w,d,u,6.97,8.01,15.94
e,b,y,n,,,w,d,s,2.41,5.78,2.49
e,f,s,n,,,w,d,a,18.96,5.98,22.52
e,o,y,y,,k,k,d,u,47.37,5.46,25.4
p,b,t,n,,,n,g,u,0.84,3.91,2.38
p,b,y,n,s,s,w,d,u,3.52,5.63,4.43
e,f,s,n,b,i,w,g,u,7.15,7.11,11.26
p,x,t,r,,,n,d,u,12.46,6.96,18.21
p,x,g,y,,s,n,d,a,1.49,2.15,2.64
p,x,h,g,,i,n,d,u,12.18,7.52,17.72
p,f,t,n,,i,g,g,a,4.53,6.23,4.24
e,x,,n,,,w,g,a,8.25,6.72,12.91
e,p,s,w,,s,w,d,w,11.68,20.16,12.25
p,x,s,y,,g,o,g,a,3.75,5.71,6.91
e,s,t,o,,,w,d,u,10.98,6.15,18.51
e,f,w,y,,,y,d,u,6.0,5.78,15.95
p,x,,o,,,y,g,u,0.56,4.62,0.93
e,p,d,e,s,y,w,d,a,15.52,16.32,34.77
e,s,,n,b,,u,g,a,8.82,6.92,21.12
e,x,s,n,,i,n,d,s,10.07,6.96,9.38
p,b,h,n,,t,n,h,a,1.29,4.15,1.23
e,x,d,n,,,y,d,a,3.28,3.94,9.45
p,s,k,w,,,w,d,w,16.15,5.87,30.55
p,x,,g,,,w,d,u,12.27,11.2,13.53
e,f,y,e,b,,n,d,a,9.3,6.21,25.42
p,x,e,y,r,,o,d,u,10.96,13.21,23.2
e,s,l,n,,,n,l,a,5.27,6.43,44.42
p,x,,g,s,,n,d,a,9.52,10.13,21.2
p,x,w,e,r,g,n,d,u,5.49,16.26,8.15
e,s,,n,,,o,d,a,3.15,5.67,6.07
p,x,s,o,,,y,g,a,5.55,8.13,8.6
p,o,e,r,,,y,d,a,6.02,1.48,12.83
e,x,y,n,,,w,d,u,3.28,2.97,5.04
e,x,e,y,,,w,d,a,10.01,6.81,20.08
e,s,,g,b,,u,d,a,8.36,6.7,18.66
e,b,h,g,,s,g,d,a,4.45,3.4,7.68
e,p,t,n,,,n,d,a,14.55,13.87,78.96
e,c,g,e,,,n,d,a,1.01,6.13,1.0
p,s,t,g,,t,r,d,u,7.38,4.24,11.65
e,x,,n,b,,w,d,u,13.24,13.46,22.07
e,p,d,e,s,y,w,d,a,18.71,16.69,35.19
p,f,s,g,,,w,g,a,3.08,2.55,7.0
e,x,e,n,,,w,d,u,17.51,11.23,18.26
e,b,g,n,,,y,g,u,4.1,5.55,3.06
p,x,,n,,s,n,g,u,1.61,4.84,2.4
e,s,,n,,s,w,l,u,6.31,5.39,8.24
p,o,,w,,g,w,p,a,4.63,5.68,32.79
p,x,e,y,,,e,d,u,11.02,9.05,31.17
e,x,e,n,,,w,g,a,15.47,10.07,17.75
e,s,l,w,,,w,d,u,7.14,3.67,9.02
p,s,t,r,,,g,d,u,13.46,5.1,25.07
p,x,g,n,,,n,d,u,2.52,6.47,2.41
p,f,,y,,i,y,d,a,5.12,6.22,13.22
p,x,e,y,,,u,d,u,10.27,6.57,22.85
e,c,t,n,,s,n,d,a,6.43,13.43,14.57
p,p,g,n,,y,w,d,u,7.42,7.82,16.31
p,f,y,w,,k,w,d,u,3.86,4.34,3.44
p,x,g,n,,s,n,d,u,1.48,2.04,2.47
e,x,,b,,,w,d,a,2.32,7.27,5.07
p,x,t,o,,g,o,g,u,5.17,6.68,8.62
p,s,k,n,,k,n,d,u,4.47,2.77,4.74
p,o,,g,,g,g,d,a,3.09,4.13,16.97
e,f,h,n,,s,w,d,u,3.58,5.27,6.21
p,x,e,n,s,,n,d,a,9.23,10.24,15.61
e,x,,y,b,,y,d,a,6.42,6.66,12.83
e,x,d,e,s,y,w,d,a,19.89,15.45,33.38
e,x,d,n,,,y,d,a,3.55,5.33,10.9
e,x,s,e,,,o,g,u,3.12,3.87,5.58
